what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.8",1524037126770
java.vendor,sysinfo,,,"Oracle Corporation",1524037126770
java.version,sysinfo,,,"1.8.0_161",1524037126770
java.vm.info,sysinfo,,,"mixed mode",1524037126770
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1524037126770
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1524037126770
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1524037126770
java.vm.specification.version,sysinfo,,,"1.8",1524037126770
java.vm.vendor,sysinfo,,,"Oracle Corporation",1524037126770
java.vm.version,sysinfo,,,"25.161-b12",1524037126770
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1524037137633
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1524037137661
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1524037138593
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1524037138616
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1524037138657
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1524037138702
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1524037138735
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1524037138921
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1524037140094
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1524037143377
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1524037143471
started,bundle,org.eclipse.epp.mpc.ui,1.0.0.v20100611-0430,"org.eclipse.epp.mpc.ui",1524037152963
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1524037153622
